"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18031","Creates a new DMS folder using a predefined template","","Sat Jun 28 16:29:33 CEST 2025","passed","Sat Jun 28 16:29:51 CEST 2025","","Uploading and managing documents in a DMS folder with a template @high @middle @low","",""
"","17450","Creates folder ""Středisko Praha"" without template","","Sat Jun 28 16:27:28 CEST 2025","passed","Sat Jun 28 16:27:45 CEST 2025","","DMS Folder Management – Create, Edit, Permissions, Delete @high @middle @low","",""
"","9339","Download the file from the newly created ""Faktury vystavené"" folder and check content","","Sat Jun 28 16:35:42 CEST 2025","passed","Sat Jun 28 16:35:51 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","26582","Create a new folder ""Faktury vystavené"" in the root of DMS without using a template","","Sat Jun 28 16:35:02 CEST 2025","passed","Sat Jun 28 16:35:29 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","4187","Verifies that the upload of the third file is recorded in the change history","","Sat Jun 28 16:29:11 CEST 2025","passed","Sat Jun 28 16:29:16 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","8713","Downloads the second uploaded file and checks the content","","Sat Jun 28 16:30:27 CEST 2025","passed","Sat Jun 28 16:30:36 CEST 2025","","Uploading and managing documents in a DMS folder with a template @high @middle @low","",""
"","7236","Move the newly created ""Faktury přijaté"" folder to Účetnictví/2025 where original folder exists","","Sat Jun 28 16:33:43 CEST 2025","passed","Sat Jun 28 16:33:50 CEST 2025","","Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","",""
"","11439","Download file from the original folder and confirm its content matches the expected file","","Sat Jun 28 16:37:20 CEST 2025","passed","Sat Jun 28 16:37:32 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","6526","Uploads a second file with a different filename into the same folder","","Sat Jun 28 16:28:45 CEST 2025","passed","Sat Jun 28 16:28:52 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","9622","Delete all files in the original ""Faktury vystavené"" folder with badge 2","","Sat Jun 28 16:37:32 CEST 2025","passed","Sat Jun 28 16:37:42 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","11134","Downloads the third uploaded file and verifies its content","","Sat Jun 28 16:29:16 CEST 2025","passed","Sat Jun 28 16:29:27 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","7496","Accept invitation","","Sat Jun 28 16:27:19 CEST 2025","passed","Sat Jun 28 16:27:27 CEST 2025","","Invite user in the company @high @middle @low","",""
"","12380","Download file from the original ""Faktury přijaté"" folder and validate content","","Sat Jun 28 16:36:20 CEST 2025","passed","Sat Jun 28 16:36:32 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","18893","Delete company","","Sat Jun 28 16:40:10 CEST 2025","passed","Sat Jun 28 16:40:29 CEST 2025","","Delete company @high @middle @low","",""
"","10064","Uploads a third file (same file name as the first upload)","","Sat Jun 28 16:30:36 CEST 2025","failed","Sat Jun 28 16:30:46 CEST 2025","","Uploading and managing documents in a DMS folder with a template @high @middle @low","",""
"","14206","Upload another file (same name) to the original ""Faktury přijaté"" folder with template under Účetnictví/2025","","Sat Jun 28 16:33:16 CEST 2025","failed","Sat Jun 28 16:33:30 CEST 2025","","Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","",""
"","17000","Creates a new DMS folder for file uploads without template","","Sat Jun 28 16:28:11 CEST 2025","passed","Sat Jun 28 16:28:28 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","5115","Deletes folder ""Středisko Praha""","","Sat Jun 28 16:28:04 CEST 2025","passed","Sat Jun 28 16:28:09 CEST 2025","","DMS Folder Management – Create, Edit, Permissions, Delete @high @middle @low","",""
"","16896","Create folder without template","","Sat Jun 28 16:37:51 CEST 2025","passed","Sat Jun 28 16:38:08 CEST 2025","","Rename folder without template @high @middle @low","",""
"","8051","Move the new ""Faktury vystavené"" folder under Accounting/2025 where is original folder ""Faktury vystavené"" ","","Sat Jun 28 16:36:32 CEST 2025","passed","Sat Jun 28 16:36:40 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","16982","Registration company","","Sat Jun 28 16:26:50 CEST 2025","passed","Sat Jun 28 16:27:07 CEST 2025","","Registration company @high @middle @low","",""
"","1206","Verifies that the file upload is recorded in the history log","","Sat Jun 28 16:31:27 CEST 2025","passed","Sat Jun 28 16:31:28 CEST 2025","","Uploading a file and moving a created folder without template @high @middle @low","",""
"","1502","Logs newly created folder into history section","","Sat Jun 28 16:27:45 CEST 2025","passed","Sat Jun 28 16:27:47 CEST 2025","","DMS Folder Management – Create, Edit, Permissions, Delete @high @middle @low","",""
"","13717","Upload a file to the original ""Faktury vystavené"" folder under Accounting/2025","","Sat Jun 28 16:35:51 CEST 2025","failed","Sat Jun 28 16:36:05 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","1852","Verifies that the second file upload is recorded in the history log","","Sat Jun 28 16:30:25 CEST 2025","passed","Sat Jun 28 16:30:27 CEST 2025","","Uploading and managing documents in a DMS folder with a template @high @middle @low","",""
"","49857","Create folder with template","","Sat Jun 28 16:38:42 CEST 2025","passed","Sat Jun 28 16:39:32 CEST 2025","","Rename folder with template @high @middle @low","",""
"","6634","Uploads the first file into the created folder","","Sat Jun 28 16:31:20 CEST 2025","passed","Sat Jun 28 16:31:27 CEST 2025","","Uploading a file and moving a created folder without template @high @middle @low","",""
"","9237","Download the file from the newly created ""Faktury přijaté"" folder and check content","","Sat Jun 28 16:32:52 CEST 2025","passed","Sat Jun 28 16:33:01 CEST 2025","","Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","",""
"","4280","Deletes the created folder without template","","Sat Jun 28 16:29:27 CEST 2025","passed","Sat Jun 28 16:29:31 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","1446","Deletes the moved folder (non-periodic)","","Sat Jun 28 16:32:23 CEST 2025","passed","Sat Jun 28 16:32:24 CEST 2025","","Uploading a file and moving a created folder without template @high @middle @low","",""
"","8542","Download the file from the newly created folder and check content","","Sat Jun 28 16:39:44 CEST 2025","passed","Sat Jun 28 16:39:53 CEST 2025","","Rename folder with template @high @middle @low","",""
"","10479","Downloads the first uploaded file and validates its content","","Sat Jun 28 16:30:04 CEST 2025","passed","Sat Jun 28 16:30:14 CEST 2025","","Uploading and managing documents in a DMS folder with a template @high @middle @low","",""
"","1193","Verifies that the first file upload is recorded in the history log","","Sat Jun 28 16:30:03 CEST 2025","passed","Sat Jun 28 16:30:04 CEST 2025","","Uploading and managing documents in a DMS folder with a template @high @middle @low","",""
"","947","Verifies that the upload of the second file is recorded in the change history","","Sat Jun 28 16:28:52 CEST 2025","passed","Sat Jun 28 16:28:53 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","4265","Deletes the created folder with template","","Sat Jun 28 16:30:57 CEST 2025","passed","Sat Jun 28 16:31:01 CEST 2025","","Uploading and managing documents in a DMS folder with a template @high @middle @low","",""
"","6505","Upload the first document to the newly created ""Faktury přijaté"" folder","","Sat Jun 28 16:32:45 CEST 2025","passed","Sat Jun 28 16:32:51 CEST 2025","","Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","",""
"","969","Verifies that folder deletion is recorded in the change history","","Sat Jun 28 16:29:31 CEST 2025","passed","Sat Jun 28 16:29:32 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","7533","Delete the moved folder ""Faktury vystavené"" with badge 1","","Sat Jun 28 16:37:42 CEST 2025","passed","Sat Jun 28 16:37:49 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","8702","Downloads the third uploaded file and checks the content","","Sat Jun 28 16:30:48 CEST 2025","passed","Sat Jun 28 16:30:57 CEST 2025","","Uploading and managing documents in a DMS folder with a template @high @middle @low","",""
"","915","Verifies that the upload of the first file is recorded in the history","","Sat Jun 28 16:28:36 CEST 2025","passed","Sat Jun 28 16:28:37 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","11514","Downloads the second uploaded file and verifies its content","","Sat Jun 28 16:28:53 CEST 2025","failed","Sat Jun 28 16:29:05 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","10964","Upload the first document to the newly created ""Faktury vystavené"" folder","","Sat Jun 28 16:35:29 CEST 2025","failed","Sat Jun 28 16:35:40 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","1968","Verify that uploading the document was recorded in the system history","","Sat Jun 28 16:39:42 CEST 2025","passed","Sat Jun 28 16:39:44 CEST 2025","","Rename folder with template @high @middle @low","",""
"","14407","Upload another file (same name) to the original ""Faktury vystavené"" folder with template under Účetnictví/2025","","Sat Jun 28 16:36:05 CEST 2025","failed","Sat Jun 28 16:36:19 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","14293","Upload a file to the original ""Faktury přijaté"" folder with template located under Účetnictví/2025","","Sat Jun 28 16:33:01 CEST 2025","failed","Sat Jun 28 16:33:16 CEST 2025","","Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","",""
"","7682","Edit and rename created folder with template","","Sat Jun 28 16:39:53 CEST 2025","passed","Sat Jun 28 16:40:01 CEST 2025","","Rename folder with template @high @middle @low","",""
