"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12409","Verify that files in the original folder with badge 2 are still present","","Sat Jun 28 15:08:40 CEST 2025","failed","Sat Jun 28 15:08:52 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","8988","Downloads the first uploaded file and checks its contents","","Sat Jun 28 15:00:30 CEST 2025","passed","Sat Jun 28 15:00:39 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","14227","Upload another file (same name) to the original ""Faktury přijaté"" folder with template under Účetnictví/2025","","Sat Jun 28 15:05:01 CEST 2025","failed","Sat Jun 28 15:05:15 CEST 2025","","Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","",""
"","7919","Edit and rename created folder with template","","Sat Jun 28 15:11:03 CEST 2025","passed","Sat Jun 28 15:11:11 CEST 2025","","Rename folder with template @high @middle @low","",""
"","6380","Verifies full permissions for both users in company","","Sat Jun 28 14:59:47 CEST 2025","passed","Sat Jun 28 14:59:53 CEST 2025","","DMS Folder Management – Create, Edit, Permissions, Delete @high @middle @low","",""
"","17095","Creates a new folder without template","","Sat Jun 28 15:02:51 CEST 2025","passed","Sat Jun 28 15:03:08 CEST 2025","","Uploading a file and moving a created folder without template @high @middle @low","",""
"","8189","Verifies the folder was successfully moved to the new location","","Sat Jun 28 15:03:34 CEST 2025","passed","Sat Jun 28 15:03:42 CEST 2025","","Uploading a file and moving a created folder without template @high @middle @low","",""
"","11151","Download file from the original folder and confirm its content matches the expected file","","Sat Jun 28 15:08:53 CEST 2025","passed","Sat Jun 28 15:09:04 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","9294","Restored file still have template","","Sat Jun 28 08:49:57 CEST 2025","failed","Sat Jun 28 08:50:07 CEST 2025","","Restore file to folder with template - bulk action @high @middle @low","",""
"","18832","Create folder without template","","Sat Jun 28 15:09:26 CEST 2025","passed","Sat Jun 28 15:09:45 CEST 2025","","Rename folder without template @high @middle @low","",""
"","17520","Create folder with template","","Sat Jun 28 15:10:22 CEST 2025","passed","Sat Jun 28 15:10:40 CEST 2025","","Rename folder with template @high @middle @low","",""
"","1080","Verify that uploading the first document was recorded in the system history","","Sat Jun 28 15:07:13 CEST 2025","passed","Sat Jun 28 15:07:14 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","13337","Registration company","","Sat Jun 28 14:58:42 CEST 2025","passed","Sat Jun 28 14:58:55 CEST 2025","","Registration company @high @middle @low","",""
"","1161","Verifies that the upload of the second file is recorded in the change history","","Sat Jun 28 15:00:45 CEST 2025","passed","Sat Jun 28 15:00:46 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
"","9989","Download the file from the newly created ""Faktury vystavené"" folder and check content","","Sat Jun 28 15:07:14 CEST 2025","passed","Sat Jun 28 15:07:24 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","17293","Create a new folder ""Faktury přijaté"" in the root of DMS without using a template","","Sat Jun 28 15:04:13 CEST 2025","passed","Sat Jun 28 15:04:30 CEST 2025","","Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","",""
"","6316","Deletes the file in created folder with template","","Sat Jun 28 08:55:35 CEST 2025","passed","Sat Jun 28 08:55:42 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","11010","Creates a new DMS folder for file uploads with template","","Sat Jun 28 08:54:59 CEST 2025","passed","Sat Jun 28 08:55:10 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","11644","Download file from the original ""Faktury přijaté"" folder and validate content","","Sat Jun 28 15:07:52 CEST 2025","passed","Sat Jun 28 15:08:03 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","7586","Delete the moved folder ""Faktury přijaté"" with badge 1","","Sat Jun 28 15:06:35 CEST 2025","passed","Sat Jun 28 15:06:43 CEST 2025","","Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","",""
